Status,Filename,FolderA_Path,FolderA_Timestamp,FolderB_Path,FolderB_Timestamp
Exact Match,Brain Metrics IQ Report.pdf,\\?\E:\0_My Stuff\Professional-Career\Brain Metrics IQ Report.pdf,1582503662.0,\\?\D:\documents\Employment\Resumes\Brain Metrics IQ Report.pdf,1582503662.0
Exact Match,Brain Metrics IQ Results.pdf,\\?\E:\0_My Stuff\Professional-Career\Brain Metrics IQ Results.pdf,1582503260.0,\\?\D:\documents\Employment\Resumes\Brain Metrics IQ Results.pdf,1582503260.0
Exact Match,2014-15 eUSPAP with Cover and Tabs (Final) 8.13.13.pdf,\\?\E:\0_My Stuff\Professional-Career\Appraisals\2014-15 eUSPAP with Cover and Tabs (Final) 8.13.13.pdf,1414640938.0,\\?\D:\documents\Education\Professional\Appraisal\Manuals\USPAP\2014-15 eUSPAP with Cover and Tabs (Final) 8.13.13.pdf,1414644538.0
Exact Match,2016-17-eUSPAP+(Final)-bookmarks-retail.pdf,\\?\E:\0_My Stuff\Professional-Career\Appraisals\2016-17-eUSPAP+(Final)-bookmarks-retail.pdf,1506970346.0,\\?\D:\documents\Education\Professional\Appraisal\Manuals\USPAP\2016-17-eUSPAP+(Final)-bookmarks-retail.pdf,1506973946.0
Exact Match,2023-12-05_Hotel_Market_Analysis_and_Valuation_International_Issues_and_Software_Applications.pdf,\\?\E:\0_My Stuff\Professional-Career\Appraisals\2023-12-05_Hotel_Market_Analysis_and_Valuation_International_Issues_and_Software_Applications.pdf,1701810310.0,\\?\D:\documents\Education\Professional\Appraisal\Manuals\2023-12-05_Hotel_Market_Analysis_and_Valuation_International_Issues_and_Software_Applications.pdf,1701810310.0
Exact Match,48766The_Appraisal_of_Real_Estate_14th_Edition_PDF-Lisa_Rials.pdf,\\?\E:\0_My Stuff\Professional-Career\Appraisals\48766The_Appraisal_of_Real_Estate_14th_Edition_PDF-Lisa_Rials.pdf,1468120298.0,\\?\D:\documents\Education\Professional\Appraisal\Manuals\48766The_Appraisal_of_Real_Estate_14th_Edition_PDF-Lisa_Rials.pdf,1468120298.0
Exact Match,48766The_Appraisal_of_Real_Estate_14th_Edition_PDF-RayRials.pdf,\\?\E:\0_My Stuff\Professional-Career\Appraisals\48766The_Appraisal_of_Real_Estate_14th_Edition_PDF-RayRials.pdf,1611598676.0,\\?\D:\documents\Education\Professional\Appraisal\Manuals\48766The_Appraisal_of_Real_Estate_14th_Edition_PDF-RayRials.pdf,1611598676.0
Exact Match,48767The_Dictionary_of_Real_Estate_Appraisal_6th_edition_PDF-Lisa_Rials.pdf,\\?\E:\0_My Stuff\Professional-Career\Appraisals\48767The_Dictionary_of_Real_Estate_Appraisal_6th_edition_PDF-Lisa_Rials.pdf,1467061692.0,\\?\D:\documents\Education\Professional\Appraisal\Manuals\48767The_Dictionary_of_Real_Estate_Appraisal_6th_edition_PDF-Lisa_Rials.pdf,1467061692.0
Exact Match,48767The_Dictionary_of_Real_Estate_Appraisal_6th_edition_PDF-RayRials.pdf,\\?\E:\0_My Stuff\Professional-Career\Appraisals\48767The_Dictionary_of_Real_Estate_Appraisal_6th_edition_PDF-RayRials.pdf,1539731164.0,\\?\D:\documents\Education\Professional\Appraisal\Manuals\48767The_Dictionary_of_Real_Estate_Appraisal_6th_edition_PDF-RayRials.pdf,1539731164.0
Exact Match,69524Capitalization_Theory_and_Techniques_Study_Guide_third_edition_PDF-Lisa_Rials.pdf,\\?\E:\0_My Stuff\Professional-Career\Appraisals\69524Capitalization_Theory_and_Techniques_Study_Guide_third_edition_PDF-Lisa_Rials.pdf,1507836166.0,\\?\D:\documents\Education\Professional\Appraisal\Courses\2020-10-19-Income Approach I\69524Capitalization_Theory_and_Techniques_Study_Guide_third_edition_PDF-Lisa_Rials.pdf,1507839766.0
